PROCDATE  JOB       FILTER  OBSID   SCANUM  FIELD     MJD      
20250927  jid79946  R062    24652   18       5297552  62320.059
20250927  jid79947  R062    24272   3        5297552  62315.075
20250927  jid79948  R062    25042   2        5297552  62325.075
20250927  jid79949  R062    26583   16       5297552  62345.078
20250927  jid79950  R062    26588   18       5297552  62345.094
20250927  jid79951  R062    27358   13       5297552  62355.094
20250927  jid79952  R062    27363   18       5297552  62355.110
20250927  jid79953  R062    28123   8        5297552  62365.078
20250927  jid79954  R062    28128   1        5297552  62365.094
20250927  jid79955  R062    28133   13       5297552  62365.110
20250927  jid79956  R062    28518   10       5297552  62370.110
20250927  jid79957  R062    28523   16       5297552  62370.126
20250927  jid79958  R062    28898   6        5297552  62375.094
20250927  jid79959  R062    29288   2        5297552  62380.110
20250927  jid79960  R062    30453   4        5297552  62395.142
20250927  jid79961  R062    29673   3        5297552  62385.110
20250927  jid80087  R062    3887    10       5297554  62050.139
20250927  jid80088  R062    4657    14       5297554  62060.139
20250927  jid80089  R062    5041    8        5297554  62065.136
20250927  jid80090  R062    6571    4        5297554  62085.104
20250927  jid80091  R062    7726    10       5297554  62100.104
20250927  jid80092  R062    8871    15       5297554  62115.072
20250927  jid80093  R062    8876    13       5297554  62115.088
20250927  jid80094  R062    9641    16       5297554  62125.072
20250927  jid80095  R062    9642    6        5297554  62125.075
20250927  jid80096  R062    10407   18       5297554  62135.059
20250927  jid80097  R062    10412   2        5297554  62135.075
20250927  jid80098  R062    11567   4        5297554  62150.075
20250927  jid80099  R062    11953   17       5297554  62155.078
20250927  jid80100  R062    13113   10       5297554  62170.094
20250927  jid80101  R062    13503   14       5297554  62175.110
20250927  jid80102  R062    15433   1        5297554  62200.126
20250927  jid80103  R062    17747   10       5297554  62230.139
20250927  jid80104  R062    17752   8        5297554  62230.155
20250927  jid80105  R062    18517   14       5297554  62240.139
20250927  jid80106  R062    18902   14       5297554  62245.139
20250927  jid80107  R062    19286   9        5297554  62250.136
20250927  jid80108  R062    19666   4        5297554  62255.120
20250927  jid80109  R062    19671   6        5297554  62255.136
20250927  jid80110  R062    20436   2        5297554  62265.120
20250927  jid80111  R062    20821   11       5297554  62270.120
20250927  jid80112  R062    20826   18       5297554  62270.136
20250927  jid80113  R062    21586   10       5297554  62280.104
20250927  jid80114  R062    22351   11       5297554  62290.088
20250927  jid80115  R062    24272   2        5297554  62315.075
20250927  jid80116  R062    24652   17       5297554  62320.059
20250927  jid80117  R062    25042   1        5297554  62325.075
20250927  jid80118  R062    26197   7        5297554  62340.075
20250927  jid80119  R062    26588   14       5297554  62345.094
20250927  jid80120  R062    28128   4        5297554  62365.094
20250927  jid80121  R062    27743   1        5297554  62360.094
20250927  jid80122  R062    28133   10       5297554  62365.110
20250927  jid80123  R062    28518   1        5297554  62370.110
20250927  jid80124  R062    28138   17       5297554  62365.126
20250927  jid80125  R062    28903   2        5297554  62375.110
20250927  jid80126  R062    28523   13       5297554  62370.126
20250927  jid80233  R062    3507    9        5297558  62045.155
20250927  jid80234  R062    3887    12       5297558  62050.139
20250927  jid80235  R062    5806    11       5297558  62075.120
20250927  jid80236  R062    5041    6        5297558  62065.136
20250927  jid80237  R062    6186    1        5297558  62080.104
20250927  jid80238  R062    6566    4        5297558  62085.088
20250927  jid80239  R062    7716    3        5297558  62100.072
20250927  jid80240  R062    7726    16       5297558  62100.104
20250927  jid80241  R062    8491    16       5297558  62110.088
20250927  jid80242  R062    9637    15       5297558  62125.059
20250927  jid80243  R062    10407   16       5297558  62135.059
20250927  jid80244  R062    9642    1        5297558  62125.075
20250927  jid80245  R062    11573   12       5297558  62150.094
20250927  jid80246  R062    11958   11       5297558  62155.094
20250927  jid80247  R062    12343   10       5297558  62160.094
20250927  jid80248  R062    13503   1        5297558  62175.110
20250927  jid80249  R062    14658   9        5297558  62190.110
20250927  jid80250  R062    14663   1        5297558  62190.126
20250927  jid80251  R062    15822   17       5297558  62205.139
20250927  jid80252  R062    17362   11       5297558  62225.139
20250927  jid80253  R062    17747   12       5297558  62230.139
20250927  jid80254  R062    19281   1        5297558  62250.120
20250927  jid80255  R062    19666   2        5297558  62255.120
20250927  jid80256  R062    20436   15       5297558  62265.120
20250927  jid80257  R062    20821   18       5297558  62270.120
20250927  jid80258  R062    21576   6        5297558  62280.072
20250927  jid80259  R062    21581   11       5297558  62280.088
20250927  jid80260  R062    21966   14       5297558  62285.088
20250927  jid80261  R062    22346   15       5297558  62290.072
20250927  jid80262  R062    22731   18       5297558  62295.072
20250927  jid80263  R062    23497   12       5297558  62305.059
20250927  jid80264  R062    23887   1        5297558  62310.075
20250927  jid80265  R062    25043   15       5297558  62325.078
20250927  jid80266  R062    26593   12       5297558  62345.110
20250927  jid80267  R062    26978   11       5297558  62350.110
20250927  jid80268  R062    27368   15       5297558  62355.126
